row,before_basic,after_basic
1,23820,23820
2,31617,31617
3,31618,31618
4,31619,31619
5,31620,31620
6,26265,26265
7,31622,31622
8,26267,26267
9,26268,26268
10,9322,9322
11,26292,26292
12,26271,26271
13,28165,28165
14,24149,24149
15,26159,26159
16,26160,26160
17,31632,31632
18,31633,31633
19,26211,26211
20,27481,27481
21,26279,26279
22,27483,27483
23,27484,27484
24,26216,26216
25,24358,24358
26,31641,31641
27,24360,24360
28,31643,31643
29,23937,23937
30,23979,23979
31,23939,23939
32,23981,23981
33,31648,31648
34,24014,24014
35,24015,24015
36,23081,23081
37,31652,31652
38,31653,31653
39,31654,31654
40,31655,31655
41,22321,22321
42,26314,26314
43,40669,40669
44,24447,24447
45,31660,31660
46,31661,31661
47,31662,31662
48,31663,31663
49,26298,26298
50,31665,31665
51,26300,26300
52,26290,26290
53,26291,26291
54,26193,26193
55,26293,26293
56,26283,26283
57,24404,24404
58,24405,24405
59,24406,24406
60,24407,24407
61,31676,31676
62,24409,24409
63,26301,26301
64,26302,26302
65,26303,26303
66,26304,26304
67,31682,31682
68,29331,29331
69,31684,31684
70,31685,31685
71,26188,26188
72,31687,31687
73,26190,26190
74,10299,10299
75,26192,26192
76,26270,26270
77,11036,11036
78,48300,48300
79,24598,24598
80,24599,24599
81,24600,24600
82,24601,24601
83,24602,24602
84,24327,24327
85,24328,24328
86,48598,48598
87,24330,24330
88,48600,48600
89,24332,24332
90,29470,29470
91,27475,27475
92,24611,24611
93,27477,27477
94,24613,24613
95,24614,24614
96,31711,31711
97,31712,31712
98,31713,31713
99,31714,31714
100,31715,31715
101,31716,31716
102,31717,31717
103,26328,26328
104,26329,26329
105,26330,26330
106,26331,26331
107,26332,26332
108,26345,26345
109,26334,26334
110,26369,26369
111,26348,26348
112,26337,26337
113,26350,26350
114,24038,24038
115,23663,23663
116,23664,23664
117,23665,23665
118,23666,23666
119,23667,23667
120,23668,23668
121,23669,23669
122,23670,23670
123,23671,23671
124,23672,23672
125,23673,23673
126,31741,31741
127,28098,28098
128,28108,28108
129,23729,23729
130,23730,23730
131,28255,28255
132,13495,13495
133,26383,26383
134,6517,6517
135,28115,28115
136,26386,26386
137,23674,23674
138,31753,31753
139,23809,23809
140,23810,23810
141,23811,23811
142,23812,23812
143,23813,23813
144,23814,23814
145,23815,23815
146,23816,23816
147,23817,23817
148,23818,23818
149,23819,23819
150,24226,24226
151,24199,24199
152,24200,24200
153,24201,24201
154,24202,24202
155,24203,24203
156,24204,24204
157,24205,24205
158,24206,24206
159,24207,24207
160,24248,24248
161,24209,24209
162,23675,23675
163,31778,31778
164,31779,31779
165,31780,31780
166,31781,31781
167,31782,31782
168,31783,31783
169,31784,31784
170,31785,31785
171,31786,31786
172,31787,31787
173,31788,31788
174,31789,31789
175,28191,28191
176,27928,27928
177,14879,14879
178,27930,27930
179,28195,28195
180,26382,26382
181,28197,28197
182,27946,27946
183,28223,28223
184,28212,28212
185,26568,26568
186,26570,26570
187,26571,26571
188,26573,26573
189,27044,27044
190,26575,26575
191,41037,41037
192,26599,26599
193,17952,17952
194,31809,31809
195,12570,12570
196,27218,27218
197,31812,31812
198,31813,31813
199,31814,31814
200,26418,26418
201,13312,13312
202,31817,31817
203,31818,31818
204,26420,26420
205,26796,26796
206,31821,31821
207,24480,24480
208,23749,23749
209,31824,31824
210,31825,31825
211,31826,31826
212,31827,31827
213,31828,31828
214,31829,31829
215,31830,31830
216,31831,31831
217,26428,26428
218,12360,12360
219,2539,2539
220,13122,13122
221,31836,31836
222,31837,31837
223,31838,31838
224,31839,31839
225,27508,27508
226,26374,26374
227,26377,26377
228,26378,26378
229,26379,26379
230,26380,26380
231,26381,26381
232,29521,29521
233,7764,7764
234,18016,18016
235,13522,13522
236,28879,28879
237,26417,26417
238,31853,31853
239,31854,31854
240,31855,31855
241,31856,31856
242,26419,26419
243,31858,31858
244,31859,31859
245,31860,31860
246,31861,31861
247,31862,31862
248,31863,31863
