START Julia=1.13.0 machine=x86_64-w64-mingw32 julia_threads=1 blas_threads=6 target=30000 time_limit=600.0 path=C:\Disk_D\tmp\runtime.mps
MODEL size=(28453, 31615) nnz=211789
CHECKPOINT iteration=500 refactorizations=10 updates=43 pinf=(53127.313054952145, 2942) dinf=(0.0, 0) elapsed_seconds=13.8391606
CHECKPOINT iteration=1000 refactorizations=20 updates=43 pinf=(9.991581823887516e6, 3451) dinf=(0.0, 0) elapsed_seconds=15.4309366
CHECKPOINT iteration=1500 refactorizations=30 updates=43 pinf=(1.054332219854371e6, 3754) dinf=(0.0, 0) elapsed_seconds=17.0346325
CHECKPOINT iteration=2000 refactorizations=40 updates=43 pinf=(1.2029990263641092e6, 3915) dinf=(0.0, 0) elapsed_seconds=18.6389412
CHECKPOINT iteration=2500 refactorizations=50 updates=43 pinf=(1.4480002838186747e6, 4055) dinf=(0.0, 0) elapsed_seconds=20.4833658
CHECKPOINT iteration=3000 refactorizations=60 updates=43 pinf=(1.862922142966629e6, 4149) dinf=(0.0, 0) elapsed_seconds=22.4674893
CHECKPOINT iteration=3500 refactorizations=70 updates=43 pinf=(3.4957992585841874e6, 4291) dinf=(0.0, 0) elapsed_seconds=24.4121279
CHECKPOINT iteration=4000 refactorizations=80 updates=43 pinf=(3.503659292128421e6, 4418) dinf=(0.0, 0) elapsed_seconds=26.3836532
CHECKPOINT iteration=4500 refactorizations=90 updates=43 pinf=(3.7403416589671294e6, 4537) dinf=(0.0, 0) elapsed_seconds=28.4856436
CHECKPOINT iteration=5000 refactorizations=100 updates=43 pinf=(4.008229231464155e6, 4688) dinf=(0.0, 0) elapsed_seconds=30.6243911
CHECKPOINT iteration=5500 refactorizations=110 updates=43 pinf=(4.396495556530868e6, 4725) dinf=(0.0, 0) elapsed_seconds=32.6961576
CHECKPOINT iteration=6000 refactorizations=120 updates=43 pinf=(3.959984487298777e6, 4778) dinf=(0.0, 0) elapsed_seconds=34.8323423
CHECKPOINT iteration=6500 refactorizations=130 updates=43 pinf=(4.86840880660073e6, 4969) dinf=(0.0, 0) elapsed_seconds=36.9617285
CHECKPOINT iteration=7000 refactorizations=140 updates=43 pinf=(752696.3796593415, 4966) dinf=(0.0, 0) elapsed_seconds=39.188387
CHECKPOINT iteration=7500 refactorizations=150 updates=43 pinf=(977361.8513503391, 4994) dinf=(0.0, 0) elapsed_seconds=41.4736821
CHECKPOINT iteration=8000 refactorizations=160 updates=43 pinf=(5.325559723487135e6, 5123) dinf=(0.0, 0) elapsed_seconds=43.8754989
CHECKPOINT iteration=8500 refactorizations=170 updates=43 pinf=(2.7040387854195237e6, 5264) dinf=(0.0, 0) elapsed_seconds=46.3690022
CHECKPOINT iteration=9000 refactorizations=180 updates=43 pinf=(4.436691334507617e6, 5487) dinf=(0.0, 0) elapsed_seconds=48.9865145
